system:time_start,NDVI
"Feb 18, 2000","1,807.279"
"Mar 5, 2000","1,816.236"
"Mar 21, 2000","1,854.043"
"Apr 6, 2000","2,271.975"
"Apr 22, 2000","3,082.228"
"May 8, 2000","3,452.53"
"May 24, 2000","3,805.862"
"Jun 9, 2000","3,855.115"
"Jun 25, 2000","4,107.5"
"Jul 11, 2000","4,047.346"
"Jul 27, 2000","4,132.087"
"Aug 12, 2000","4,077.823"
"Aug 28, 2000","3,989.504"
"Sep 13, 2000","3,563.777"
"Sep 29, 2000","3,345.903"
"Oct 15, 2000","3,114.656"
"Oct 31, 2000","2,352.162"
"Nov 16, 2000","1,950.686"
"Dec 2, 2000","2,035.579"
"Dec 18, 2000","1,751.978"
"Jan 1, 2001","1,868.478"
"Jan 17, 2001",898.733
"Feb 2, 2001","1,227.697"
"Feb 18, 2001","1,502.177"
"Mar 6, 2001","1,566.922"
"Mar 22, 2001","1,928.946"
"Apr 7, 2001","2,314.908"
"Apr 23, 2001","2,810.888"
"May 9, 2001","3,541.859"
"May 25, 2001","4,282.532"
"Jun 10, 2001","4,230.088"
"Jun 26, 2001","4,072.852"
"Jul 12, 2001","4,497.417"
"Jul 28, 2001","4,419.277"
"Aug 13, 2001","4,351.053"
"Aug 29, 2001","4,072.355"
"Sep 14, 2001","3,740.435"
"Sep 30, 2001","3,369.303"
"Oct 16, 2001","3,110.563"
"Nov 1, 2001","3,036.035"
"Nov 17, 2001","2,748.33"
"Dec 3, 2001","1,733.448"
"Dec 19, 2001","1,780.974"
"Jan 1, 2002","1,608.091"
"Jan 17, 2002","1,626.557"
"Feb 2, 2002","1,652.765"
"Feb 18, 2002","1,596.935"
"Mar 6, 2002","1,684.106"
"Mar 22, 2002","2,204.959"
"Apr 7, 2002","2,525.48"
"Apr 23, 2002","2,773.803"
"May 9, 2002","2,924.509"
"May 25, 2002","3,209.381"
"Jun 10, 2002","3,422.258"
"Jun 26, 2002","3,504.844"
"Jul 12, 2002","3,489.292"
"Jul 28, 2002","3,552.561"
"Aug 13, 2002","3,403.614"
"Aug 29, 2002","3,475.557"
"Sep 14, 2002","3,542.056"
"Sep 30, 2002","3,428.606"
"Oct 16, 2002","3,088.458"
"Nov 1, 2002","2,334.348"
"Nov 17, 2002","2,249.733"
"Dec 3, 2002","2,223.62"
"Dec 19, 2002","1,729.077"
"Jan 1, 2003","1,816.036"
"Jan 17, 2003","1,872.813"
"Feb 2, 2003","1,488.699"
"Feb 18, 2003","1,492.989"
"Mar 6, 2003","1,646.24"
"Mar 22, 2003","1,814.117"
"Apr 7, 2003","2,152.298"
"Apr 23, 2003","2,677.303"
"May 9, 2003","3,264.709"
"May 25, 2003","3,967.727"
"Jun 10, 2003","4,267.013"
"Jun 26, 2003","4,170.608"
"Jul 12, 2003","3,988.307"
"Jul 28, 2003","4,082.806"
"Aug 13, 2003","3,920.31"
"Aug 29, 2003","4,026.564"
"Sep 14, 2003","3,781.479"
"Sep 30, 2003","3,291.56"
"Oct 16, 2003","3,051.911"
"Nov 1, 2003","2,339.94"
"Nov 17, 2003","2,252.006"
"Dec 3, 2003","1,992.487"
"Dec 19, 2003","1,644.918"
"Jan 1, 2004","1,492.703"
"Jan 17, 2004","1,547.111"
"Feb 2, 2004",942.086
"Feb 18, 2004","1,300.947"
"Mar 5, 2004","1,754.503"
"Mar 21, 2004","2,162.828"
"Apr 6, 2004","2,472.523"
"Apr 22, 2004","2,794.703"
"May 8, 2004","3,374.456"
"May 24, 2004","3,715.704"
"Jun 9, 2004","3,742.345"
"Jun 25, 2004","4,258.287"
"Jul 11, 2004","4,235.58"
"Jul 27, 2004","4,405.524"
"Aug 12, 2004","4,292.187"
"Aug 28, 2004","4,126.557"
"Sep 13, 2004","3,767.096"
"Sep 29, 2004","3,570.722"
"Oct 15, 2004","3,273.275"
"Oct 31, 2004","2,780.642"
"Nov 16, 2004","2,402.457"
"Dec 2, 2004","1,824.334"
"Dec 18, 2004","1,993.566"
"Jan 1, 2005","1,400.764"
"Jan 17, 2005","1,803.096"
"Feb 2, 2005","1,613.924"
"Feb 18, 2005","1,725.037"
"Mar 6, 2005","1,793.162"
"Mar 22, 2005","1,939.9"
"Apr 7, 2005","2,261.12"
"Apr 23, 2005","2,711.032"
"May 9, 2005","3,335.864"
"May 25, 2005","3,894.354"
